retailer,confidence,gtin,input_description,matched_product_name,store_id,product_id,match_score,doordash_product_url,page_service_product_url,store_url,checked_at_utc
Doordash 7/11,high,00022000008985,"Extra Gum Polar Ice Sugar Free Chewing Gum, Single Pack - 15 Sticks",Extra Sugar Free Polar Ice Chewing Gum Sticks (15 ct),1719586,4324291068,96.97,https://www.doordash.com/convenience/store/1719586?item_id=4324291068,https://page-service.doordash.com/en-US/convenience/store/1719586?item_id=4324291068,https://www.doordash.com/convenience/store/1719586,2026-03-17T11:49:20Z
Doordash 7/11,high,00022000017888,Extra Polar Ice Sugar Free Chewing Gum - 35 ct Pack,Extra Sugar Free Polar Ice Chewing Gum Sticks (35 ct),738099,15896403893,94.62,https://www.doordash.com/convenience/store/738099?item_id=15896403893,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=15896403893,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,high,00019000083425,"Life Savers 5 Flavors Gummy Candy  - 7 oz, 49 Ct Bag",Life Savers 5 Flavors Gummies Candy Bag (7 oz),738099,6592974820,90.24,https://www.doordash.com/convenience/store/738099?item_id=6592974820,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974820,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,high,00019000083449,Life Savers Wild Berries Gummy Candy - 7 oz Bag,Life Savers Wild Berries Gummy Candies (7 oz),738185,4883335529,95.24,https://www.doordash.com/convenience/store/738185?item_id=4883335529,https://page-service.doordash.com/en-US/convenience/store/738185?item_id=4883335529,https://www.doordash.com/convenience/store/738185,2026-03-17T11:49:20Z
Doordash 7/11,high,00040000004318,"M&M's Milk Chocolate Candy, Share Size - 3.14 oz Bag",M&M's Milk Chocolate Candies Bag Share Size (3.14 oz),738185,9177662388,96.15,https://www.doordash.com/convenience/store/738185?item_id=9177662388,https://page-service.doordash.com/en-US/convenience/store/738185?item_id=9177662388,https://www.doordash.com/convenience/store/738185,2026-03-17T11:49:20Z
Doordash 7/11,high,00040000004325,"M&M's Peanut Milk Chocolate Candy, Share Size - 3.27 oz Bag",M&M's Peanut Milk Chocolate Candies Bag Share Size (3.27 oz),738099,6592974755,96.61,https://www.doordash.com/convenience/store/738099?item_id=6592974755,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974755,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,high,00022000015969,"Skittles Wild Berry Chewy Candy, Share Size - 4 oz Bag",Skittles Wild Berry Chew Candies Bag Share Size (4 oz),738099,6592974767,95.15,https://www.doordash.com/convenience/store/738099?item_id=6592974767,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974767,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,high,00040000002635,"Snickers Milk Chocolate Candy Bars, Share Size - 3.29 oz",Snickers Original Super Bowl Milk Chocolate Candy Bar Share Size (3.29 oz),738099,6592974796,95.05,https://www.doordash.com/convenience/store/738099?item_id=6592974796,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974796,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,high,00022000135377,"Starburst Favereds Minis Fruit Chewy Candy Grab N Go, 8 oz Bag",Starburst FaveReds Grab N Go Fruit Mini Chewy Candy Bag (8 oz),34439128,30298317421,99.17,https://www.doordash.com/convenience/store/34439128?item_id=30298317421,https://page-service.doordash.com/en-US/convenience/store/34439128?item_id=30298317421,https://www.doordash.com/convenience/store/34439128,2026-03-17T11:49:20Z
Doordash 7/11,high,00040000004059,"Twix Milk Chocolate Caramel Cookie Candy Bars, Share Size - 3.02 oz Pack",Twix Caramel Milk Chocolate Cookie Candy Bars Share Size (3.02 oz),738099,6592974758,100.0,https://www.doordash.com/convenience/store/738099?item_id=6592974758,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974758,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,medium,00022000120304,Life Savers Collisions Gummy Candy - 7 oz Bag,Life Savers Collisions Raspberry Lemonade Cherry Watermelon & Pineapple Punch Gummies Bag (7 oz),738099,26894869478,83.78,https://www.doordash.com/convenience/store/738099?item_id=26894869478,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=26894869478,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,medium,00040000002239,"M&M's Peanut Butter Milk Chocolate Candy, Share Size - 2.83 oz Bag",M&M's Peanut Milk Chocolate Candies Bag Share Size (3.27 oz),738099,6592974755,89.6,https://www.doordash.com/convenience/store/738099?item_id=6592974755,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974755,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,medium,00040000004608,"Skittles Original Chewy Candy, Share Size - 4 oz Bag",Skittles Wild Berry Chew Candies Bag Share Size (4 oz),738099,6592974767,81.19,https://www.doordash.com/convenience/store/738099?item_id=6592974767,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974767,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
Doordash 7/11,medium,00040000574576,"Twix Salted Caramel Chocolate Cookie Bars, Share Size - 2.8.oz",Twix Caramel Milk Chocolate Cookie Candy Bars Share Size (3.02 oz),738099,6592974758,89.72,https://www.doordash.com/convenience/store/738099?item_id=6592974758,https://page-service.doordash.com/en-US/convenience/store/738099?item_id=6592974758,https://www.doordash.com/convenience/store/738099,2026-03-17T11:49:20Z
